ID; A.X; A.Y; B.X; B.Y; A; L
21638;-456109;-1251565;-452809;-1253065;114;3624;
3515;-450209;-1291465;-449809;-1295065;173;3622;
6366;-470809;-1329265;-467309;-1330165;104;3613;
5391;-483009;-1319065;-480609;-1321765;138;3612;
23534;-473809;-1279465;-471409;-1282165;138;3612;
21570;-476809;-1263765;-474309;-1261165;43;3606;
12005;-472609;-1295565;-472409;-1299165;176;3605;
18617;-503209;-1255265;-503009;-1258865;176;3605;
20991;-471909;-1319565;-468509;-1320765;109;3605;
22180;-472609;-1295465;-472409;-1299065;176;3605;
1185;-473309;-1296265;-473209;-1299865;178;3601;
14417;-455409;-1298465;-455309;-1302065;178;3601;
19096;-472509;-1295765;-472409;-1299365;178;3601;
25753;-455409;-1298465;-455309;-1302065;178;3601;
8289;-483809;-1241265;-480209;-1241265;90;3600;
13806;-476309;-1260565;-476309;-1256965;0;3600;
25188;-476309;-1260565;-476309;-1256965;0;3600;
25430;-506209;-1256965;-506209;-1253365;0;3600;
14905;-475909;-1271165;-475109;-1267665;12;3590;
2695;-495009;-1270865;-493609;-1274165;157;3584;
13698;-507809;-1262465;-506009;-1265565;149;3584;
25075;-507809;-1262465;-506009;-1265565;149;3584;
5897;-491609;-1267065;-489509;-1269965;144;3580;
10532;-492509;-1318165;-490909;-1321365;153;3577;
21937;-492509;-1318165;-490909;-1321365;153;3577;
2255;-455009;-1315765;-453909;-1312365;17;3573;
7858;-491609;-1267165;-489409;-1269965;141;3560;
23161;-469209;-1317765;-466409;-1319965;128;3560;
25613;-469309;-1317665;-466509;-1319865;128;3560;
10682;-467309;-1309965;-464309;-1311865;122;3551;
11880;-467309;-1309965;-464309;-1311865;122;3551;
14827;-499409;-1278465;-497509;-1281465;147;3551;
17942;-467309;-1309965;-464309;-1311865;122;3551;
21797;-466309;-1246265;-462809;-1245665;80;3551;
22078;-467309;-1309965;-464309;-1311865;122;3551;
26193;-499409;-1278465;-497509;-1281465;147;3551;
4952;-476809;-1263865;-474409;-1261265;42;3538;
7448;-471809;-1316365;-469309;-1318865;135;3535;
22630;-495609;-1263165;-493109;-1265665;135;3535;
2423;-450209;-1291465;-449809;-1294965;173;3522;
11793;-471309;-1323765;-468409;-1325765;124;3522;
70;-471909;-1319565;-468609;-1320765;109;3511;
7394;-471909;-1319565;-468609;-1320765;109;3511;
18986;-478509;-1305265;-478409;-1301765;1;3501;
26306;-482309;-1270665;-482209;-1267165;1;3501;
7299;-483709;-1241265;-480209;-1241265;90;3500;
12560;-476309;-1260465;-476309;-1256965;0;3500;
13444;-494909;-1271165;-493509;-1274365;156;3492;
13938;-477909;-1251465;-477109;-1254865;166;3492;
19469;-498409;-1265965;-495309;-1264365;62;3488;
8207;-484209;-1246765;-482009;-1249465;140;3482;
8373;-482909;-1319165;-480609;-1321765;138;3471;
16567;-503009;-1245665;-500409;-1243365;48;3471;
23184;-474709;-1320865;-472409;-1323465;138;3471;
6932;-456609;-1262965;-453709;-1264865;123;3466;
20624;-476809;-1263765;-474409;-1261265;43;3465;
16287;-480309;-1271665;-479009;-1268465;22;3453;
3473;-481309;-1299765;-480709;-1296365;10;3452;
12398;-475809;-1271265;-475209;-1267865;10;3452;
19054;-481309;-1299765;-480709;-1296365;10;3452;
2236;-490909;-1318065;-489209;-1321065;150;3448;
